Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,66.000000,69.669998,64.500000,68.070000,68.070000,12825700
2021-01-05,67.919998,69.410004,67.449997,68.419998,68.419998,6482300
2021-01-06,66.029999,68.339996,64.739998,67.110001,67.110001,9518500
2021-01-07,67.709999,71.410004,67.709999,71.379997,71.379997,9870700
2021-01-08,72.199997,73.570000,69.500000,71.870003,71.870003,9102500
2021-01-11,70.809998,72.891998,69.024002,71.699997,71.699997,7812800
2021-01-12,71.169998,75.070000,71.169998,75.070000,75.070000,8929900
2021-01-13,76.000000,76.879997,72.704002,72.760002,72.760002,9793800
2021-01-14,73.449997,76.250000,70.410004,70.959999,70.959999,13110400
2021-01-15,71.389999,71.849998,68.919998,69.750000,69.750000,8872300
2021-01-19,71.750000,71.949997,69.580002,71.010002,71.010002,6820100
2021-01-20,72.000000,73.019997,69.580002,72.639999,72.639999,6938700
2021-01-21,74.199997,74.459999,72.209999,73.519997,73.519997,9567900
2021-01-22,73.519997,75.400002,72.900002,73.080002,73.080002,10136600
2021-01-25,74.459999,75.070000,68.610001,73.370003,73.370003,13803000
2021-01-26,73.650002,74.040001,68.570000,69.239998,69.239998,16432500
2021-01-27,65.519997,68.870003,62.150002,64.669998,64.669998,17567200
2021-01-28,67.320000,69.290001,66.010002,68.510002,68.510002,11665400
2021-01-29,68.000000,69.250000,65.910004,68.510002,68.510002,11215400
2021-02-01,69.610001,71.989998,68.550003,70.720001,70.720001,9755800
2021-02-02,72.480003,74.129997,71.370003,73.870003,73.870003,10042900
2021-02-03,76.000000,77.980003,73.029999,77.139999,77.139999,16319200
2021-02-04,78.779999,79.150002,75.050003,77.839996,77.839996,26599500
2021-02-05,86.199997,86.490997,79.699997,81.959999,81.959999,46113100
2021-02-08,81.430000,81.800003,77.940002,79.809998,79.809998,23275900
2021-02-09,79.449997,81.699997,79.029999,79.410004,79.410004,12494400
2021-02-10,80.904999,82.489998,78.535004,81.120003,81.120003,13038500
2021-02-11,85.699997,87.374001,83.500000,87.029999,87.029999,31105300
2021-02-12,86.660004,86.980003,83.629997,84.040001,84.040001,11050200
2021-02-16,86.550003,89.900002,86.489998,89.150002,89.150002,19279100
2021-02-17,87.059998,87.449997,83.629997,86.300003,86.300003,10418500
2021-02-18,85.309998,86.800003,83.660004,85.989998,85.989998,9162500
2021-02-19,87.410004,88.290001,85.430000,85.900002,85.900002,7056300
2021-02-22,85.000000,86.830002,80.440002,80.989998,80.989998,10141100
2021-02-23,74.349998,84.930000,70.599998,84.559998,84.559998,20293600
2021-02-24,83.849998,85.400002,81.519997,84.169998,84.169998,8856400
2021-02-25,85.570000,86.500000,78.690002,79.110001,79.110001,11514400
2021-02-26,80.260002,81.589996,76.389999,80.580002,80.580002,14156100
2021-03-01,82.570000,83.470001,80.900002,83.320000,83.320000,8099100
2021-03-02,84.209999,85.099998,80.279999,81.169998,81.169998,8978800
2021-03-03,81.169998,81.709999,73.010002,74.389999,74.389999,13224600
2021-03-04,73.010002,74.230003,66.300003,68.839996,68.839996,22917400
2021-03-05,70.000000,70.440002,60.330002,68.139999,68.139999,22084600
2021-03-08,68.550003,69.665001,62.310001,62.490002,62.490002,15086500
2021-03-09,67.029999,67.889999,64.400002,67.480003,67.480003,13599200
2021-03-10,68.709999,70.800003,67.209999,68.970001,68.970001,14304000
2021-03-11,71.889999,72.279999,69.529999,71.879997,71.879997,10089300
2021-03-12,68.809998,71.760002,67.695000,71.750000,71.750000,9360400
2021-03-15,72.300003,72.790001,70.099998,72.790001,72.790001,7300600
2021-03-16,73.989998,75.098000,72.510002,73.790001,73.790001,10032100
2021-03-17,72.400002,75.629997,71.000000,74.949997,74.949997,10055300
2021-03-18,74.050003,74.330002,69.110001,69.389999,69.389999,13551400
2021-03-19,69.410004,73.230003,69.400002,73.010002,73.010002,14247500
2021-03-22,71.800003,73.250000,70.110001,72.349998,72.349998,14628800
2021-03-23,72.019997,72.089996,70.599998,71.239998,71.239998,9351400
2021-03-24,71.949997,72.720001,69.195000,69.599998,69.599998,10598400
2021-03-25,66.375000,68.910004,65.500000,68.209999,68.209999,11397200
2021-03-26,68.919998,69.760002,66.820000,69.070000,69.070000,10368300
2021-03-29,68.839996,69.839996,67.529999,69.379997,69.379997,9408200
